ID,Tweet_ID,Isi_Tweet,Date,Aplikasi,Lokasi User,Source,Topic,Sentimen,Remark
133343972,patih_patria,@FahrelStv Gak setuju Jokowi jadi Cawapres.. CAPRES JOKOWI harga mati...,08/01/2013 0:33,web,BLITAR - INDONESIA,tweet,indonesian presidential election,1,Jokowi
921720487,RintisBautista,"capres jokowi,wacapres abraham samad. gubernur ahok. gua yakin koruptor abissss !",08/01/2013 4:11,"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Android</a>",Didalam hatinya recha  :love,tweet,indonesian presidential election,1,Jokowi
-2120434840,JokowiPres,"RT @RintisBautista: capres jokowi,wacapres abraham samad. gubernur ahok. gua yakin koruptor abissss !",08/01/2013 4:32,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,tweet,indonesian presidential election,1,Jokowi
-116006035,Franliiiii,capres ( Prabowo ) and cawapres ( jokowi ) and gubDKI (Ahok) mantap lanjutkan !!! buat pak presiden (SBY) bubarkan saja FPI,08/01/2013 7:33,web,Manado,tweet,indonesian presidential election,1,Prabowo
-906300614,JokowiPres,RT @Franliiiii: capres ( Prabowo ) and cawapres ( jokowi ) and gubDKI (Ahok) mantap lanjutkan !!! buat pak presiden (SBY) bubarkan saja FPI,08/01/2013 7:36,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,tweet,indonesian presidential election,1,Prabowo
-1035835265,sabotase_dunia,"jd skenarionya gini. 2014 biar Prabowo jd presiden, Jokowi tetepgubernur. kalo Jakarta berhasil gak usah nunggu 2019 buat gantiin Prabowo",08/01/2013 9:16,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",Jakarta the Garden City,tweet,indonesian presidential election,1,Jokowi
-494262702,gusti_primus,"SBY mantan TNI, dan Calon Presiden Prabowo subianto adalah Mantan KOPASSUS.. Krn anggoto TNI disiplin.. Maka dari itu, smw presiden TEGAS!!!",08/01/2013 10:50,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Indonesia,tweet,indonesian presidential election,1,Prabowo
-1509470293,Its_Daviid,"@Prabowo08 mohon untuk pak Presiden Prabowo Subiyanto, tolong jangan jadikan kami ""Perangkat Desa"" sebagai tumbal kebijakan pemerintah.",08/01/2013 11:48,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","Klaten,Jawa tengah",tweet,indonesian presidential election,-1,Prabowo
776853354,marail_zutsyi,"RT @gusti_primus: SBY mantan TNI, dan Calon Presiden Prabowo subianto adalah Mantan KOPASSUS.. Krn anggoto TNI disiplin.. Maka dari itu, sm ",08/01/2013 11:53,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>","Palembang,South Sumatra",tweet,indonesian presidential election,1,Prabowo
-1288633949,lukmantalibo,Saat jd Meneg BUMN Dahlan Iskan bs sedikit ambil bag dlm kep strategis PLN. Saat jd presiden Jokowi bs jg melakukan hal yg sm utk Jakarta,08/01/2013 15:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Andromeda,tweet,indonesian presidential election,1,Jokowi
